zip_code,lon,lat,city,province
2352CZ,4.521258241062702,52.16344472132742,Leiderdorp,South Holland
4704SB,4.461998308081795,51.55884592227925,Roosendaal,North Brabant
3833BP,5.41816426873116,52.12198776411349,Leusden,Utrecht
4266EK,5.049581169934943,51.730884624132734,Eethen,North Brabant
2201TS,4.441718159839957,52.20969797067636,Noordwijk,South Holland
4031JE,5.486284829288881,51.95438519431931,Ingen,Guelders
8304AP,5.750219647259455,52.691289078842296,Emmeloord,Flevoland
9351NP,6.366586920222987,53.15197553054272,Leek,Groningen
1964LJ,4.655814151732066,52.50533373933956,Heemskerk,North Holland
5015AS,5.107329215781554,51.56825242607321,Tilburg,North Brabant
1101GG,4.933868492372438,52.30665132260891,Amsterdam,North Holland
7468AB,6.567907356096755,52.29290100751195,Enter,Overijssel
7061DM,6.370818291345136,51.91872962444149,Terborg,Guelders
7606AN,6.656957815672703,52.343060091350445,Almelo,Overijssel
7447JK,6.44933263402344,52.38397778172502,Hellendoorn,Overijssel
5803AN,5.990709621653524,51.53958696626328,Venray,Limburg
2984AA,4.608327245010092,51.87186187570732,Ridderkerk,South Holland
4879NL,4.624502121651346,51.55701807285895,Etten-Leur,North Brabant
7532SW,6.942041802834662,52.22394312179266,Enschede,Overijssel
1131DH,5.077301990404663,52.50139950043012,Volendam,North Holland
3433PG,5.106999019483794,52.01686235193584,Nieuwegein,Utrecht
3771SJ,5.64109813318473,52.13276183860492,Barneveld,Guelders
4705RS,4.499653473201898,51.543926056135,Roosendaal,North Brabant
5121DB,4.945711056995119,51.578208164524554,Rijen,North Brabant
3903LM,5.568627935816479,52.006309209791475,Veenendaal,Utrecht
5251CG,5.211000378752604,51.69535376103149,Vlijmen,North Brabant
8071GD,5.762760372415464,52.37356125824017,Nunspeet,Guelders
2251LP,4.466622936952815,52.1340010278974,Voorschoten,South Holland
3785LC,5.50016572922889,52.17881445118557,Zwartebroek,Guelders
5165NR,4.941815678676405,51.694916830439986,Waspik,North Brabant
1689AD,5.0641088365498765,52.66075081565292,Zwaag,North Holland
2314AN,4.522237352497969,52.1499213916726,Leiden,South Holland
1969LB,4.655190271542243,52.503867598205844,Heemskerk,North Holland
7324AA,5.984601003460625,52.237128522820015,Apeldoorn,Guelders
2671DB,4.2114351561574725,52.00374582339476,Naaldwijk,South Holland
5234GG,5.287257676122519,51.72457993137245,'s-Hertogenbosch,North Brabant
6042EN,6.011393283929761,51.20143922194081,Roermond,Limburg
3931EX,5.456122159850568,52.08070010804173,Woudenberg,Utrecht
2254AG,4.43286574729881,52.12963629164428,Voorschoten,South Holland
2964BK,4.861026842987611,51.92540987982207,Groot-Ammers,South Holland
2675BC,4.219442652535497,52.009196350199375,Honselersdijk,South Holland
7483PH,6.742895645977024,52.170564590583496,Haaksbergen,Overijssel
5613LE,5.497326681952141,51.43546993781301,Eindhoven,North Brabant
1506SZ,4.825657955802429,52.422253985089846,Zaandam,North Holland
8445PE,5.938372207750997,52.93328724465174,Heerenveen,Friesland
8253RD,5.710212145138555,52.538324595000795,Dronten,Flevoland
8312RA,5.615085022880953,52.7694870380026,Creil,Flevoland
1404EG,5.160841955214959,52.278100633886304,Bussum,North Holland
4901BR,4.852662425504432,51.649364164719486,Oosterhout,North Brabant
1446VR,4.995943302369169,52.51422768534618,Purmerend,North Holland
3812SZ,5.3525474614491975,52.165398794648,Amersfoort,Utrecht
5628BS,5.458808076054962,51.48131830198468,Eindhoven,North Brabant
4905AA,4.849942301498321,51.651773323392625,Oosterhout,North Brabant
8252JP,5.698291320745602,52.516439368093415,Dronten,Flevoland
5341AC,5.516071821766857,51.77149951526723,Oss,North Brabant
6826TN,5.95840953238149,51.976578401052755,Arnhem,Guelders
